[p=0.0] Ep001 | Train 0.050 | Val 0.038 | Gap 0.012
[p=0.0] Ep002 | Train 0.064 | Val 0.000 | Gap 0.064
[p=0.0] Ep003 | Train 0.068 | Val 0.016 | Gap 0.051
[p=0.0] Ep004 | Train 0.084 | Val 0.000 | Gap 0.084
[p=0.0] Ep005 | Train 0.090 | Val 0.057 | Gap 0.033
[p=0.0] Ep006 | Train 0.111 | Val 0.049 | Gap 0.063
[p=0.0] Ep007 | Train 0.105 | Val 0.003 | Gap 0.103
[p=0.0] Ep008 | Train 0.127 | Val 0.052 | Gap 0.076
[p=0.0] Ep009 | Train 0.136 | Val 0.027 | Gap 0.109
[p=0.0] Ep010 | Train 0.162 | Val 0.024 | Gap 0.137
[p=0.0] Ep011 | Train 0.169 | Val 0.041 | Gap 0.128
[p=0.0] Ep012 | Train 0.204 | Val 0.027 | Gap 0.177
[p=0.0] Ep013 | Train 0.228 | Val 0.090 | Gap 0.138
[p=0.0] Ep014 | Train 0.274 | Val 0.117 | Gap 0.157
[p=0.0] Ep015 | Train 0.324 | Val 0.128 | Gap 0.196
[p=0.0] Ep016 | Train 0.379 | Val 0.120 | Gap 0.259
[p=0.0] Ep017 | Train 0.451 | Val 0.111 | Gap 0.340
[p=0.0] Ep018 | Train 0.528 | Val 0.152 | Gap 0.376
[p=0.0] Ep019 | Train 0.592 | Val 0.168 | Gap 0.423
[p=0.0] Ep020 | Train 0.626 | Val 0.152 | Gap 0.474
