[p=0.2] Ep001 | Train 0.041 | Val 0.005 | Gap 0.036
[p=0.2] Ep002 | Train 0.066 | Val 0.024 | Gap 0.042
[p=0.2] Ep003 | Train 0.078 | Val 0.014 | Gap 0.065
[p=0.2] Ep004 | Train 0.087 | Val 0.027 | Gap 0.060
[p=0.2] Ep005 | Train 0.096 | Val 0.014 | Gap 0.082
[p=0.2] Ep006 | Train 0.105 | Val 0.000 | Gap 0.105
[p=0.2] Ep007 | Train 0.105 | Val 0.005 | Gap 0.100
[p=0.2] Ep008 | Train 0.128 | Val 0.011 | Gap 0.117
[p=0.2] Ep009 | Train 0.127 | Val 0.000 | Gap 0.127
[p=0.2] Ep010 | Train 0.146 | Val 0.019 | Gap 0.127
[p=0.2] Ep011 | Train 0.167 | Val 0.043 | Gap 0.123
[p=0.2] Ep012 | Train 0.179 | Val 0.090 | Gap 0.089
[p=0.2] Ep013 | Train 0.213 | Val 0.092 | Gap 0.120
[p=0.2] Ep014 | Train 0.252 | Val 0.052 | Gap 0.200
[p=0.2] Ep015 | Train 0.284 | Val 0.022 | Gap 0.262
[p=0.2] Ep016 | Train 0.351 | Val 0.109 | Gap 0.243
[p=0.2] Ep017 | Train 0.414 | Val 0.139 | Gap 0.276
[p=0.2] Ep018 | Train 0.469 | Val 0.141 | Gap 0.328
[p=0.2] Ep019 | Train 0.515 | Val 0.141 | Gap 0.374
[p=0.2] Ep020 | Train 0.555 | Val 0.141 | Gap 0.414
