[p=0.5] Ep001 | Train 0.038 | Val 0.003 | Gap 0.035
[p=0.5] Ep002 | Train 0.069 | Val 0.046 | Gap 0.023
[p=0.5] Ep003 | Train 0.078 | Val 0.019 | Gap 0.059
[p=0.5] Ep004 | Train 0.075 | Val 0.014 | Gap 0.062
[p=0.5] Ep005 | Train 0.100 | Val 0.003 | Gap 0.097
[p=0.5] Ep006 | Train 0.112 | Val 0.033 | Gap 0.080
[p=0.5] Ep007 | Train 0.132 | Val 0.062 | Gap 0.070
[p=0.5] Ep008 | Train 0.133 | Val 0.111 | Gap 0.021
[p=0.5] Ep009 | Train 0.148 | Val 0.024 | Gap 0.123
[p=0.5] Ep010 | Train 0.188 | Val 0.027 | Gap 0.161
[p=0.5] Ep011 | Train 0.206 | Val 0.043 | Gap 0.162
[p=0.5] Ep012 | Train 0.221 | Val 0.054 | Gap 0.167
[p=0.5] Ep013 | Train 0.263 | Val 0.082 | Gap 0.182
[p=0.5] Ep014 | Train 0.302 | Val 0.101 | Gap 0.201
[p=0.5] Ep015 | Train 0.346 | Val 0.087 | Gap 0.259
[p=0.5] Ep016 | Train 0.405 | Val 0.106 | Gap 0.299
[p=0.5] Ep017 | Train 0.456 | Val 0.095 | Gap 0.361
[p=0.5] Ep018 | Train 0.495 | Val 0.130 | Gap 0.365
[p=0.5] Ep019 | Train 0.544 | Val 0.144 | Gap 0.400
[p=0.5] Ep020 | Train 0.554 | Val 0.139 | Gap 0.415
